indicator_code,indicator,country_code,country,year,value
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2000,8.24808502
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2001,8.62476349
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2002,8.85665226
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2003,9.01086521
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2004,9.06623363
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2005,9.03529835
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2006,9.33188725
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2007,9.4346962
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2008,9.59427929
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2009,10.70402527
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2010,10.70066547
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2011,10.40518665
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2012,10.5407114
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2013,10.43559265
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2014,10.28115654
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2015,10.76397896
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2016,11.05626965
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2017,10.9242115
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2018,10.92262077
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2019,11.04823494
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2020,13.01732922
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2021,12.38106632
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2022,11.08119678
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2023,11.18692875
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),CAN,Canada,2024,11.3095665
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2000,9.61744022
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2001,9.75719261
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2002,10.08250141
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2003,10.13474941
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2004,10.2117033
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2005,10.23720551
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2006,10.39764977
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2007,10.33418846
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2008,10.51340675
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2009,11.29095459
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2010,11.22430801
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2011,11.17601013
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2012,11.33749485
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2013,11.37891197
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2014,11.57935429
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2015,11.50032997
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2016,11.57036018
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2017,11.44944572
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2018,11.30847645
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2019,11.17058277
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2020,12.12949371
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2021,12.24894238
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2022,11.82888794
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2023,11.51974583
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),FRA,France,2024,11.53530598
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2000,9.75930405
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2001,9.78105545
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2002,10.028965
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2003,10.22255325
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2004,9.97466278
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2005,10.1068058
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2006,9.96236897
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2007,9.83482933
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2008,10.03185749
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2009,10.97003078
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2010,10.8311739
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2011,10.52106953
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2012,10.59356213
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2013,10.7432127
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2014,10.76819706
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2015,10.92317677
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2016,10.97133732
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2017,11.05091095
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2018,11.18380833
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2019,11.42805386
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2020,12.46780777
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2021,12.72403336
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2022,12.44708347
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2023,11.74428654
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),DEU,Germany,2024,12.26655293
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2000,7.03456163
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2001,7.23947906
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2002,7.35235405
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2003,7.48654842
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2004,7.53518438
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2005,7.65818596
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2006,7.68688869
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2007,7.77935696
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2008,8.08909321
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2009,8.9587822
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2010,9.0630064
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2011,10.48780155
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2012,10.67169094
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2013,10.67438698
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2014,10.7290144
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2015,10.74969959
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2016,10.65891552
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2017,10.65627098
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2018,10.73988247
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2019,10.96998405
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2020,11.44974613
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2021,12.08108234
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2022,12.32275677
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),JPN,Japan,2023,10.73979473
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2000,7.14559078
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2001,7.43276882
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2002,7.85946798
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2003,8.05214596
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2004,8.32219028
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2005,8.38108349
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2006,8.53970814
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2007,8.76035309
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2008,9.03295708
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2009,9.83944035
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2010,9.78799534
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2011,9.79682636
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2012,9.89332199
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2013,9.99087143
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2014,9.97686195
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2015,9.94044876
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2016,9.87085724
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2017,9.70468903
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2018,9.79496574
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2019,9.97954082
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2020,12.10388088
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2021,12.08347321
SH.XPD.CHEX.GD.ZS,Health expenditure (% of GDP),GBR,United Kingdom,2022,11.09679794
