hospital_id,Hospital
1,"Abbott And Thompson, Sullivan"
2,Abbott Inc
3,Abbott Ltd
4,"Abbott Moore And Williams,"
5,"Abbott, Peters And Hoffman"
6,"Abbott, Vazquez Bautista And"
7,Abbott-Castillo
8,Abbott-Coleman
9,Abbott-Ferrell
10,Abbott-Hill
11,Abbott-Jones
12,Abbott-Martin
13,Abbott-Rios
14,Abbott-Wilson
15,"Acevedo And Ellis, Snyder"
16,"Acevedo And Hart, Hernandez"
17,"Acevedo And Howard Burke,"
18,"Acevedo And Larson Andrews,"
19,"Acevedo And Lewis Barker,"
20,Acevedo Group
21,"Acevedo Holmes And Rangel,"
22,Acevedo Llc
23,Acevedo Ltd
24,"Acevedo Phillips Steele, And"
25,Acevedo Plc
26,"Acevedo, Jordan And Diaz"
27,"Acevedo, Martin And Price"
28,"Acevedo, Riddle Payne And"
29,Acevedo-Diaz
30,Acevedo-Goodwin
31,Acevedo-Henderson
32,Acevedo-Lawson
33,"Acosta And Tapia Evans,"
34,Acosta Group
35,Acosta Inc
36,Acosta Llc
37,Acosta Ltd
38,Acosta Plc
39,Acosta Sons And
40,"Acosta Trujillo Davis, And"
41,"Acosta Weeks Yates, And"
42,"Acosta Willis, Martin And"
43,"Acosta, And Martin Torres"
44,"Acosta, And Price Jackson"
45,"Acosta, And Young Morrow"
46,"Acosta, Figueroa Compton And"
47,"Acosta, Gordon Smith And"
48,"Acosta, Miller Martin And"
49,"Acosta, Reed And Guzman"
50,Acosta-Barnes
51,Acosta-Berry
52,Acosta-Carlson
53,Acosta-Chambers
54,Acosta-Clark
55,Acosta-Davila
56,Acosta-Dickerson
57,Acosta-Miller
58,Acosta-Robertson
59,Acosta-Smith
60,Acosta-Taylor
61,Acosta-Thomas
62,"Adams And Brown Benson,"
63,"Adams And Campos Cooper,"
64,"Adams And Delgado Newman,"
65,"Adams And Everett Garza,"
66,"Adams And Freeman Oneal,"
67,"Adams And Gonzales, Clark"
68,"Adams And Roberts Armstrong,"
69,"Adams And Smith Olson,"
70,Adams And Sons
71,"Adams And Thomas Williams,"
72,"Adams And White, Smith"
73,"Adams Baxter, And Peterson"
74,"Adams Bell Adams, And"
75,Adams Group
76,Adams Inc
77,"Adams Lawson, And Fleming"
78,Adams Llc
79,Adams Ltd
80,"Adams Macias And Arias,"
81,"Adams Marshall, Taylor And"
82,"Adams Morris, And Griffin"
83,"Adams Murphy And Lopez,"
84,"Adams Navarro, Gomez And"
85,"Adams Novak, And James"
86,"Adams Odonnell And Cook,"
87,"Adams Patterson, And Pham"
88,"Adams Patterson, Lawrence And"
89,Adams Plc
90,"Adams Rivas Duran, And"
91,"Adams Smith Cervantes, And"
92,Adams Sons And
93,"Adams Torres Nixon, And"
94,"Adams Weaver, And Acosta"
95,"Adams West And Poole,"
96,"Adams Wilson, Newton And"
97,"Adams, And Colon Green"
98,"Adams, And Daniels Rogers"
99,"Adams, And Jackson Greer"
100,"Adams, And Johns Molina"
101,"Adams, And Joseph Williams"
102,"Adams, And Rodriguez Wright"
103,"Adams, Bowers Escobar And"
104,"Adams, Christian And Perry"
105,"Adams, Collins Simmons And"
106,"Adams, Hayes And Gardner"
107,"Adams, Hendricks Collins And"
108,"Adams, Mcgee Brown And"
109,"Adams, Proctor Evans And"
110,"Adams, Randall Powers And"
111,"Adams, Ross Edwards And"
112,Adams-Bailey
113,Adams-Barnes
114,Adams-Bass
115,Adams-Bell
116,Adams-Bennett
117,Adams-Benson
118,Adams-Best
119,Adams-Black
120,Adams-Castillo
121,Adams-Castro
122,Adams-Chase
123,Adams-Clark
124,Adams-Cortez
125,Adams-Daugherty
126,Adams-Dean
127,Adams-Dominguez
128,Adams-Ferguson
129,Adams-Flynn
130,Adams-Gallegos
131,Adams-Garza
132,Adams-Gates
133,Adams-Gomez
134,Adams-Hale
135,Adams-Harper
136,Adams-Harrington
137,Adams-Harris
138,Adams-Henry
139,Adams-Hicks
140,Adams-Hinton
141,Adams-Howard
142,Adams-Jackson
143,Adams-Johnson
144,Adams-Kim
145,Adams-Krause
146,Adams-Lee
147,Adams-Marquez
148,Adams-Martin
149,Adams-Massey
150,Adams-Mcclure
151,Adams-Mcgrath
152,Adams-Mendoza
153,Adams-Mitchell
154,Adams-Molina
155,Adams-Nash
156,Adams-Ortega
157,Adams-Reynolds
158,Adams-Rice
159,Adams-Richardson
160,Adams-Rodriguez
161,Adams-Salazar
162,Adams-Savage
163,Adams-Simmons
164,Adams-Smith
165,Adams-Stewart
166,Adams-Stuart
167,Adams-Thompson
168,Adams-Valencia
169,Adams-Vazquez
170,Adams-Velasquez
171,Adams-Velez
172,Adams-Woods
173,Adkins Group
174,"Adkins Hale Mueller, And"
175,Adkins Inc
176,"Adkins Knapp And Richards,"
177,Adkins Llc
